CA;ResultatNet;ValeurAjoutee;EBE;ResultatExploitation;ActifsEconomiques;FondsPropresNet;TotalBilan;FondsRoulement;BFR;CapitauxPermanents;ActifsImmobilises;ActifsImmobilisesHP;CashFlowNet;Tresorerie;ChargesFinancieres;DMLT;ChargesPersonnel;AchatsConsommes;AchatsTTC;MoyenneStocks;MoyenneCreances;MoyenneDettesFournisseurs;Defaut
43570616;6159164;12567336;10041047;13918673;12817778;7710705;61591640;4528875;7286099;7588437;8335177;8335177;2521806;-2757224;5139874;17159893;7352176;8244074;9700899;8350628;5292018;6356547;1
27571550;7917849;8045564;6230924;7842548;10062884;10203160;87976100;2824931;6160932;6561556;4640229;4640229;1948913;-3336001;5300979;9991460;4436563;3746325;6548503;4426391;5088948;3354407;1
31202133;4426934;11531710;9091206;16398594;10809911;10864616;34053338.46;6028621;1929185;7266537;9611251;9611251;1825721;4099436;3293372;6641287;4868880;4357340;5303230;4038834;4022974;6132623;0
4017208;821499;1627636;1144946;947972;841782;1127383;9127766.667;495095;333161;1162010;1168892;1168892;244912;161934;765710;1592746;710780;607569;758921;543573;559180;769592;1
4788987;1316428;1723195;1340348;1602458;1043188;928614;26328560;915516;928532;1255605;734669;734669;340288;-13016;888263;1584183;714083;743846;956055;834561;789737;695766;1
73219374;5282324;16988254;13020384;23990131;16147481;15206290;88038733.33;13434590;9175766;12306181;23667346;23667346;5374310;4258824;12738405;22236689;14254149;10610568;11677338;8106754;13560571;12491559;1
34383933;4386319;6940367;4924043;12214098;6952759;12972357;62661700;6102308;3544742;6694395;6319901;6319901;3322256;2557566;4735875;11387978;6045982;6185138;7518171;4489509;3608956;4553723;1
52798195;-41547;23122885;15609030;16292754;8140815;10418987;67002315.38;10201791;6499443;10289500;18442932;18442932;4493012;3702348;9459501;20018680;7027260;5887369;12161545;9639368;6837972;9977897;1
45119160;8112004;15983547;10691097;19253518;12865093;16066465;62400030.77;7143327;4194498;11833366;11834476;11834476;4226547;2948829;7937307;11545168;6383167;8879743;8189382;6245929;5548400;7599831;0
56806148;10664012;23535975;17944799;21068379;10036742;9754416;82030861.54;7570906;7628979;17863852;16519222;16519222;3278957;-58073;10634394;15111059;9992316;6958659;12271670;10530763;6365975;9267759;1
9186246;-186748;2211805;1527712;4614787;1390649;1761441;10288806.67;1411501;1619773;1809398;2764421;2764421;843548;-208272;981426;2041868;1548165;1093202;2124703;1630013;1270848;1281088;1
53831208;14302294;12287061;8417583;27896279;10571688;16518509;95348626.67;5732792;3334545;11167014;15602611;15602611;5081849;2398247;6032612;11603519;8298798;8546152;10227242;6259554;5477793;8402802;0
63109852;-2839183;17438594;13930726;31088384;11259810;23950214;189889900;6569567;5817645;19596277;16705305;16705305;4592350;751922;8299538;13905352;9816578;11082288;14429397;8995960;6937936;10116251;0
12392472;1652042;2728582;1924601;5158332;1920172;3814108;16520420;2043301;1995639;3790710;3454768;3454768;1153681;47662;1660667;4074829;1498644;1336242;2643023;1815330;2047741;1867432;0
11569101;-1102604;2750112;2034678;4718285;2756418;3347047;12042236.36;1167163;1016212;2819003;2841210;2841210;841915;150951;2162965;3126556;1561295;2055556;2596846;1509528;1774526;2267842;0
30274767;780721;10785777;8173896;14424249;9532594;5245370;8674677.778;4907096;3462089;6929303;8979466;8979466;1540992;1445007;5734627;6265720;3850171;4735201;5202893;5291024;3520189;5349124;0
15205589;-86989;5406926;3994523;7496532;5580533;5697414;44283633.33;2580189;3582704;4677539;3457828;3457828;1335095;-1002515;1761876;3053481;2893700;2176548;2450135;2691573;2955780;2064649;1
74196231;17774894;26582598;20987699;31351027;14959334;17651201;161589945.5;9884007;7253322;12406193;22334896;22334896;7224358;2630685;13708248;19481209;9655747;9462793;15507154;9107330;8233945;10087953;0
6564472;835887;1593140;1265767;2000209;1144616;2419385;13931450;1156777;1548671;1999413;986935;986935;525134;-391894;786959;2524951;1252353;1034716;1044065;1173693;1143039;768061;1
60415785;17150377;22372953;16662034;24398545;21149073;13991978;214379712.5;10895225;5406936;13599003;14315275;14315275;3649637;5488289;7701299;15836146;12479795;8417509;10664702;6780249;6251071;7624384;0
64455262;-1673430;20504944;15486208;24372839;10123744;15064024;220041683.3;10634878;12102224;15097169;16879476;16879476;3726302;-1467346;7994009;24124683;7963731;9188585;14094461;11102825;8311146;7311747;1
25372230;-754929;9796670;6979493;11675848;9395185;5305571;122780080;3056810;5000921;8336572;4262955;4262955;2467967;-1944111;2765175;7814033;3117174;4265983;4647299;3949479;4295629;3244187;1
14191970;1050797;4281310;3038330;4846806;4406625;3689063;8756641.667;2267678;2569339;2608838;4557094;4557094;1229824;-301661;2835039;3711213;2798912;2056502;2934188;1746675;2783810;1961146;1
28610907;998241;12505766;8725138;8473330;5363023;10238078;19964820;3731022;5757719;6928305;9617016;9617016;1853992;-2026697;4908106;11004320;4225151;5213804;4820027;3953026;5420552;3615859;1
64105101;-3597976;21737265;14464008;24723535;21943671;18198058;244166083.3;10628530;9151351;14540612;15400020;15400020;3591964;1477179;12133488;19038556;8209522;9558738;15987207;10732507;6770873;8352029;0
55390483;-5169247;11202510;8067609;20521063;8465236;13543258;68440811.11;6287432;3177624;9783647;10673054;10673054;4757405;3109808;10937815;16974776;6956829;5884507;11368945;7376387;6271836;10470599;1
3424879;563150;713211;570448;1293604;652315;996298;6257222.222;408228;466376;864271;1022409;1022409;296567;-58148;559242;1090920;481113;410772;758751;354391;625235;513250;1
23150656;5868756;7442854;5156395;8867446;8526289;7091263;73359450;4292449;2674450;7577200;6309149;6309149;1450497;1617999;3907984;5886447;4488779;4051639;4649735;4377893;2705255;4408698;0
63158426;-2104784;24508997;18106667;23363058;14248991;9836712;119727100;7838388;7796747;17954281;18423729;18423729;5084464;41641;12108853;19447095;8239420;9960948;10112776;7070295;7877797;7151345;1
59554508;17619987;22455840;16736260;25310349;16299972;12589863;195777633.3;8146566;8211911;15437487;12275035;12275035;5775754;-65345;8368457;17191586;8684116;8741417;12428144;7827030;6365993;5981112;0
14147842;4223430;5262780;3513872;4640254;4791374;2707143;38394818.18;1785535;2182519;2843276;4234739;4234739;906536;-396984;1788402;4985814;2733372;1768254;2955426;1681810;2586296;2085587;1
17654974;4699;5216571;3476668;6339195;3490984;6998996;52211.11111;2926688;2286107;3045603;4047779;4047779;1594321;640581;2568212;5240855;3506712;1983608;2941461;2779437;2852911;3346241;1
70005594;17376904;16702418;13180095;21953753;16029222;11718552;124120742.9;8240093;8803020;10765352;23971780;23971780;4294227;-562927;9936112;24692442;13423287;13096265;15144392;7524989;12959183;11681152;1
36119170;8868798;13253467;8994615;12585739;12830998;9242427;177375960;4570258;4119493;10741545;9733951;9733951;2361906;450765;7157107;9694007;6682317;7031063;5480312;4343093;3979265;4202865;1
46112583;13205527;19286495;12882209;22319437;9760196;11865757;110046058.3;8785260;4148992;11171007;15629195;15629195;3105569;4636268;4880310;12601719;6311117;7052490;9203376;4957309;5288257;6096574;0
33679106;-1664234;11530340;8165676;12459204;11533830;6519596;96040177.78;4496185;5910650;7889916;9732344;9732344;1697737;-1414465;3742120;10421644;7056138;4095450;5673919;3777600;5607258;3474208;1
68930752;17305272;22871372;15396093;29749660;20911019;14187222;133117476.9;7006069;18071662;19113989;14655048;14655048;6282140;-11065593;8600390;18894737;11685965;11589259;17065108;12475645;13228676;7632659;0
56871409;4749133;13965194;10327690;18188662;18078557;19287067;33922378.57;7491988;8798918;13707293;13649273;13649273;5307612;-1306930;6036189;21608884;11037674;7339267;9207435;7013281;9107056;7321419;1
56231375;1982260;23523810;17561612;21052389;17198025;20453200;28318000;10212179;13711689;14390847;10268489;10268489;5486138;-3499510;10172968;14638541;10367477;5848705;11328873;10626968;10159290;7074569;1
21602437;5418427;5951326;4051087;7601184;3283262;8233249;67730337.5;2660378;3876862;3897028;4382876;4382876;1815077;-1216484;3462456;6255449;4283348;3038503;4953514;2566374;3956853;2646365;1
47467644;11085019;18988955;13814212;15781137;12675847;12662849;79178707.14;8738955;8479508;11223142;15342918;15342918;3555247;259447;7353683;16053470;8279354;9219948;11152489;5483017;9273173;6276682;1
15651400;1863975;6834951;4764825;4897120;4142280;2488237;26628214.29;2400896;2785508;2427088;2387194;2387194;826642;-384612;2127265;5589218;3037797;2120618;3634792;2669277;2294291;2178060;1
18666586;4603092;4873748;3246620;7993109;5162775;6547524;38359100;3663316;2462512;5323498;2917548;2917548;1459033;1200804;3649260;4048814;2975403;1889041;4610750;2225337;3429297;3192122;0
12123702;670315;2716927;1869948;4498188;4636392;4548421;5585958.333;1348213;2057312;1949647;1963313;1963313;923868;-709099;1740912;4189300;1695302;1934660;2024230;1440541;2215633;1598862;1
54488335;11450158;14387852;9807107;16142341;16742373;19120422;163573685.7;7172904;5897495;15112706;8577108;8577108;3417248;1275409;9643610;18591294;10111090;9024033;12627544;6066202;6888367;7057074;1
11462576;3299539;4920018;3722830;4182289;2602896;2918179;65990780;1781513;1724921;2626854;3628261;3628261;656464;56592;1777144;3642630;1860513;1560930;2338203;1652440;1554324;1481843;1
46295722;-4482541;20772492;14841562;16147379;6951839;7513430;81983800;5143422;9441465;10813437;8021130;8021130;4297780;-4298043;8104501;13776889;8266953;9136706;9748566;8735270;7905495;7199300;1
74790799;18901551;19009135;14563485;25520425;20622447;28871316;315025850;8573496;11072045;13120475;11837046;11837046;5059756;-2498549;7971310;27304594;13994470;12720329;12052707;8989244;9773124;7690323;1
47298597;12557347;20379404;15488013;18670093;10769344;10645590;96594976.92;9252683;10217240;8034703;8011425;8011425;2843700;-964557;9407388;11835245;7385871;4837157;8743547;8644232;6930324;5357316;0
24326897;617984;5839554;3887078;8245627;8634688;5357503;4414171.429;3029437;3795913;7619270;3701357;3701357;1965784;-766476;3508660;8586349;3986261;4341742;4446526;4435769;3516875;4156731;1
70360283;18993397;23726268;19183638;31587220;22500655;13551885;189933970;10138988;15220778;18456994;23593025;23593025;6296221;-5081790;9480316;15017832;14274915;14014009;13591102;13224101;12197554;10200877;0
29348802;367805;8132324;6447662;11306591;11400352;6623123;3065041.667;3692244;4675831;8044239;5989886;5989886;1596113;-983587;4832037;9540129;3670045;3553871;5943731;5518046;4332945;5175160;0
15962024;3930188;3696609;2937236;6263363;4378574;5259705;32751566.67;2822768;4309446;4578596;5385861;5385861;822696;-1486678;2314364;4222506;3161791;2396911;3681067;3146489;3174819;2011862;0
3996057;448493;1473310;1009097;1605395;1459038;1477317;5606162.5;414864;341665;968102;803477;803477;390088;73199;486291;1310131;594240;552672;869654;446337;559132;663804;0
72963444;12275688;20305443;14440800;19132110;25334558;20743852;102297400;14188300;15498435;13153232;16892872;16892872;5678745;-1310135;14152146;28685581;10993607;13482072;12953250;12513162;11356394;8371121;1
41965077;3660275;18868262;13764353;19314754;6841586;10993118;24401833.33;5649639;1423936;13646694;11962456;11962456;2948362;4225703;5274203;8793459;8582661;4273724;7189257;4223388;4367116;7166568;0
57538826;14840871;15552328;10888453;19532470;17723193;11179634;212012442.9;10777379;9576551;15555258;17441214;17441214;4606297;1200828;6750077;20026877;11229402;10209169;12450225;10139313;7879877;8442639;1
15548044;1422415;6055065;4341793;7002099;5269386;3035414;11853458.33;2064485;2399458;4682136;3623898;3623898;1538863;-334973;1863387;4727878;1954680;2456626;3441950;2544547;2901237;3046326;0
56991400;10136029;23658495;18115725;24611046;9347502;10190265;84466908.33;6968862;6809789;11871551;14962771;14962771;5210606;159073;8556200;15845318;7978836;9936449;12487205;10466788;7445253;11102252;0
31926501;2038572;11760118;8746095;12643236;7583963;11351906;25482150;6118956;6980960;7581984;8910792;8910792;2994675;-862004;5164958;8627911;5490396;4387876;7440271;5770136;4966097;3755273;0
5425285;-68749;1213296;944624;2630403;1072203;1554972;5221171.429;600067;586908;1775009;1791732;1791732;337750;13159;651578;1276209;867095;571822;868263;887202;678682;978976;0
15597693;3157187;6357160;4259331;5718192;5192919;3554599;39464837.5;2085430;2924659;3700766;2868139;2868139;1186346;-839229;2090157;5222799;2566545;2145651;3439868;3005995;1694597;1775933;1
13518662;-355421;4567378;3227152;6974436;3306105;3492715;27969490;1549875;1283100;4251812;2632286;2632286;1275950;266775;1377513;3340154;1826559;2287355;2662118;1399875;1990036;2106811;0
64028902;10312081;28048788;21362327;23268796;22963752;10276215;93746190.91;8942906;4522340;15045656;20131736;20131736;4871603;4420566;7822758;19757734;13179614;9773661;11824249;9290020;7971223;12738903;1
9574334;350505;2296169;1796860;2427989;1529706;1670198;2696192.308;1808766;1828435;2296867;2446575;2446575;746276;-19669;1731809;3727767;1686769;999030;1470229;1693447;1478197;1343209;1
68510646;8372515;30668592;21805137;33077775;25237993;16990353;139541916.7;8439170;15073929;10450730;18499425;18499425;5196557;-6634759;8838180;18354610;8240081;9025647;16554317;11342105;11516205;7784381;0
73033109;-7184832;27388631;18694881;34885832;24741488;12196065;136560884.6;10318603;3989238;17968591;12795880;12795880;5010008;6329365;10714493;17515990;9916794;13757662;14304742;9814783;7716180;13541725;0
2297915;99404;849983;567894;701924;766573;495319;1988080;248759;462504;507727;500669;500669;155186;-213745;302659;853340;439992;391564;536992;344098;409021;290615;1
28009215;6535949;8794117;5920114;9690214;7692700;10922076;108932483.3;2839809;4795831;4402973;5497182;5497182;2023187;-1956022;2912010;10804957;4602034;4022777;5517760;4484974;3707806;3396949;1
65802280;9185767;20359537;13609155;26395568;18002664;12854987;183715340;11797420;11383210;12126369;13523454;13523454;3855553;414210;13009418;13195351;13201943;13046413;10075472;7720058;12244670;8581518;0
49359565;12198958;19549548;14463976;20231988;9243982;8326474;152486975;9630715;12943439;9293603;10196246;10196246;4493081;-3312724;6201350;13534371;9391856;9473060;9129878;9214576;9147429;5418566;0
5981884;-296638;1211906;918078;2693331;1995583;1078250;13910620;1053221;1094459;1812555;1531535;1531535;330395;-41238;825971;1530060;932522;1193045;1399175;886575;864662;656778;1
17075576;3736879;5736691;4022356;5146305;2611216;6783269;62281316.67;2621233;3308708;2965447;3812932;3812932;1221796;-687475;1845259;6517423;3566589;3269860;3285285;3257148;2375475;2323915;1
23600323;4677628;7115642;5324249;8784490;8938197;7195467;66823257.14;4239035;2262318;5865495;3717346;3717346;1341299;1976717;2891959;8740056;3183818;3399443;3922262;3195948;2461127;3394757;1
2773473;276052;661881;487714;1167942;652110;572125;1971800;287864;593475;838119;699686;699686;206777;-305611;426235;769809;409487;405648;524238;466421;476610;349556;0
14746280;-227087;3119695;2210457;5994682;5689315;5821436;38498650;2387134;3491811;3613098;4228125;4228125;1070482;-1104677;1719958;5025094;2006546;2671491;3292621;2204826;2927560;1640575;1
47374619;-1292901;19540382;14340577;20325591;12791895;8206178;121237875;5697658;6306833;13628608;11019918;11019918;4361989;-609175;6532007;13661328;6855693;9442162;9748063;6068628;7358211;7120006;1
28258612;3100527;6328782;4942264;13123422;10880618;7127567;62010540;2912348;2667478;4638555;5503948;5503948;2132143;244870;4515314;6537097;4082779;3570538;6898253;4151345;3938296;5422163;0
39501181;-368334;16463161;11426483;15586861;13097727;8844187;127859620;5039437;2736774;9413929;11209281;11209281;2789955;2302663;4862274;13703460;5348586;3967107;8963520;4297347;4351065;5911638;0
37578753;-2480515;7786970;5729320;15634002;13587401;5936022;72936090.91;3776244;5012601;7356967;12319306;12319306;2744390;-1236357;5797571;11281382;4865798;5654115;6005399;4239271;5278695;4505365;1
43172363;2114245;13587615;9088899;16525179;9528241;9722758;30203500;6928218;6969170;8808796;10265325;10265325;3246989;-40952;8458609;11724164;6464411;6676623;8687275;4429805;7346726;4807361;0
11494215;1500058;3850413;2722951;2894419;4289463;1738560;10000386.67;1539175;1178865;1922407;2314475;2314475;914464;360310;2183363;4358608;2057825;1800743;1737494;1473637;1751419;2046191;1
62384369;5726028;20231846;15033152;23735679;13245866;17409987;81800400;6967939;5444050;18944504;13696519;13696519;4572729;1523889;7124640;23120341;8403709;6956677;12559870;8016124;7890350;10462424;0
18800721;-514109;5766397;4391716;7577846;6540741;5251079;30677028.57;3668336;2078129;2829974;6490446;6490446;1316837;1590207;2543139;5040125;3639611;3557151;3762379;3119140;2493353;3534364;0
4838481;971614;1392525;1002847;1594723;1918908;1381114;16193566.67;770348;755773;1125829;984015;984015;294735;14575;778129;1727693;737936;638042;743984;484315;940294;668836;1
42166887;8354153;16015103;11896292;13975350;16627881;14635722;59672521.43;5439544;8942135;11669094;13484520;13484520;3330376;-3502591;5899796;13779572;8512169;8271844;10465148;5818079;7451774;4327718;1
43938668;-2563267;12578886;8912548;22604188;15160650;9965095;44405554.55;6241371;9573190;12227727;9166871;9166871;2326517;-3331819;5560225;10383033;5391222;5570278;8081785;8152665;6691433;5270908;1
64971972;10531145;15319161;10346316;26504237;15064948;9897086;87759541.67;10396247;1013010;21092140;19572886;19572886;5008815;9383237;6912279;19350391;12205065;6787086;10898972;6528656;7309516;12825162;0
48559317;7635682;12831076;9113596;15383380;18049019;9167373;50904546.67;9190717;7008283;10629832;11046041;11046041;3945403;2182434;9234365;15701893;8239679;5473145;10008148;5438736;7268590;5699043;1
62006783;11286817;24102058;16781165;26351140;12192137;23095925;188113616.7;9475820;6257787;12424518;16978058;16978058;3908178;3218033;10490356;12665131;12500156;10110068;11095091;7519910;10102023;11364146;0
44650911;9632715;16969248;13327632;22029404;9298146;13448144;160545250;5671538;8017400;9700443;9001343;9001343;3350272;-2345862;6231338;8955847;7434322;8103173;10056409;4889915;8795147;5667662;0
46621338;7645221;20180570;14177382;17060759;7208299;13711561;54608721.43;6968625;11404325;10093278;13842244;13842244;4217513;-4435700;6244648;17673910;5642021;5920576;8987144;8580919;8872442;6049036;1
34877496;7090476;8678406;6936401;11671377;11495538;9720846;50646257.14;4883388;5205971;9068921;7621355;7621355;1864964;-322583;6168054;10973590;6064475;5521040;8425580;5558677;4513182;4865888;1
23673641;2929178;8567182;5902766;7064860;7966058;6095871;22532138.46;2632200;4235965;5539606;4622900;4622900;1945210;-1603765;3781148;7862457;4965176;2586285;4813472;3848604;3459544;3072183;1
25085380;6576938;6949811;5026582;9385113;5827159;5169905;59790345.45;4684512;1949901;7974877;6473441;6473441;1442042;2734611;2696705;8548783;4454779;4977393;4253297;2846736;2706094;3602929;1
10262396;2592075;3472856;2544569;2882724;3575244;3257449;32400937.5;1696518;735222;1583287;2998306;2998306;976221;961296;1626004;4080172;1673496;1772519;1801272;1115824;1097198;1477800;1
56394514;-5011310;23276483;18632028;22844133;19284220;13733017;179406012.5;10336872;2976173;12391369;19335423;19335423;3931860;7360699;9704648;15100611;8745122;10747271;9652808;5957499;7987446;10968772;0
4205663;457311;1030025;708901;1366691;667410;725727;6533014.286;685488;543069;923490;1224657;1224657;234465;142419;736404;1526840;575728;760059;1030237;590431;694681;742043;1
3353810;852466;1486632;1150345;1370362;892478;516381;14207766.67;585498;618939;1066508;756909;756909;274580;-33441;361670;1153612;468166;441749;741591;635935;558721;575717;0
17956669;184799;6604017;4686800;6428440;4168440;5073713;2639985.714;3309281;3439405;3413441;4256150;4256150;902879;-130124;2759886;6513745;2254598;3434302;3889762;3284808;3295989;3141392;1
35381387;4475327;15635316;11972596;12408445;9058947;13738434;40684790.91;3666690;3733317;8595445;11711853;11711853;1895747;-66627;4076528;11620101;7276313;5953282;6653959;5542964;3755716;5565363;1
19567497;985366;4152303;3064724;7698775;3318815;3334866;10948511.11;2029269;3131096;3949049;6223480;6223480;1194425;-1101827;3656966;5835998;2375758;3071934;4833967;3144615;3704380;3717899;0
40473102;1496710;14313265;10660556;16675814;6297675;14778787;21381571.43;5812325;7985178;10041254;7887590;7887590;2502760;-2172853;6478550;11116191;6202547;7251397;8196662;7498790;5636813;5150425;0
69123155;11310047;24195403;19216117;26244860;13691450;16772313;226200940;11559124;16689445;11752524;11795637;11795637;4943693;-5130321;8731107;20928151;13219037;8346810;11306959;12976864;11041438;7328857;1
37508136;2698574;9099291;6698934;19098218;8598128;6310422;44976233.33;6387034;9982098;11642977;6332121;6332121;2044078;-3595064;5642943;8031368;4735607;6220966;8614652;6861568;7204571;4084041;0
26613394;-1209641;9355546;7082795;9223022;4353615;9404478;65698758.33;4841725;2455514;5194592;5714938;5714938;2272355;2386211;4025934;9917271;3447167;2789349;5255407;3463165;3490080;4497731;1
23930372;6249590;6912199;5582993;6598253;6620037;8074030;124991800;2654032;4636283;4940996;7483403;7483403;1368393;-1982251;4646332;8001791;4683996;3162584;4780377;2950694;4169483;2483894;1
67099071;18977844;22958626;15852225;34627261;18779424;23036935;210864933.3;10293183;8993149;10784621;22362663;22362663;4567553;1300034;10644005;13580336;8247469;13083290;13775875;10702782;8701067;10410700;0
9854237;-247800;2486233;1963230;4071751;3111622;2864461;25421380;1138500;1648442;2402053;3137355;3137355;523563;-509942;1880153;2105831;1796502;1092940;2258796;1694129;1252429;1298116;1
18860421;1138882;4744453;3443043;9168367;6435990;6558407;18981366.67;3347815;2603439;3827956;3060190;3060190;1222073;744376;2965694;3938464;2787896;2397359;3450612;2153967;3114492;2665020;0
33392506;1502209;12470353;9846688;10214662;5988685;13140273;25036816.67;6257578;6300988;7530319;5651191;5651191;3018944;-43410;4085923;12193631;6898290;6027917;7191677;5509462;6190825;5399299;1
38708116;365807;10997250;8680347;14989549;14862023;14137029;2438713.333;4579868;6879245;6959300;9960565;9960565;3549131;-2299377;5447460;12470335;5800772;7541299;6427216;7121768;4093521;4336044;0
55115789;4676944;22341224;16275219;21304465;20208696;16441460;46769440;6497459;9587270;12131554;15977417;15977417;5378423;-3089811;7528197;16651226;9631901;7421475;12803889;8169167;8627201;7209098;0
37557374;5221816;15142877;10347282;13599019;13856670;6510514;58020177.78;4740847;9107928;5686256;9758836;9758836;2275828;-4367081;7418962;10103454;6435939;4875300;8678068;6959026;6842654;4693752;1
57429358;1504384;24143663;19361349;23255813;19779918;11335525;18804800;10984304;13728669;18399342;17000755;17000755;5158650;-2744365;10156538;15421924;8595083;7207923;12775431;11405330;8209444;5886105;0
47122467;12141315;12071394;8831651;23255267;12891416;17989263;151766437.5;5639471;7643557;11235648;16071445;16071445;4431685;-2004086;5473202;12243413;6150585;7273845;7164692;7805521;8482189;8644153;0
24078470;2944183;7683101;6005671;10998650;7877613;5833559;26765300;2868546;1763688;6299387;6017120;6017120;2188100;1104858;3748075;6131294;3200451;3265297;5450602;2812137;2813176;3861625;0
30354783;2847219;11090195;8055548;11375901;10459884;12008237;21901684.62;5066608;1568953;6767776;7503541;7503541;2094359;3497655;3046321;11171833;4760728;3275679;4716760;4182442;3225192;5838681;1
72954287;-2085741;19464992;14290482;27846971;18649032;18943604;112407057.1;10187786;18203367;12396027;17492472;17492472;5297056;-8015581;8141755;23595671;13369890;7690710;16810387;13062494;12615132;7474259;1
23100416;1789755;9914168;7506453;6260667;7579082;5287436;19886166.67;3474797;3738011;3881138;5599880;5599880;1693911;-263214;3514323;8759498;4565928;3823702;5767887;3081249;4583358;3926596;1
73827109;3020179;32022786;22826460;32048776;21612743;17820515;43145414.29;14196828;8141938;17183137;23245063;23245063;5932562;6054890;9496579;19662100;12619654;10963394;13430570;9760067;10258470;11876599;0
9834839;1514521;4340602;3031718;4012306;3237141;2745180;10818007.14;1084230;281186;2537031;1881358;1881358;981983;803044;1076393;3277396;1468744;1436919;2152511;1084467;1127445;1930726;0
3316973;197593;1357356;1057837;1305699;979559;953012;1796300;386165;350964;536696;973383;973383;285040;35201;653613;721070;636591;386113;557251;429551;476924;555511;0
39552887;9423325;8111051;5938397;14346212;7825620;12228010;85666590.91;5666286;4064126;7357547;6029564;6029564;2574435;1602160;5778377;12005154;7423144;5240633;8348699;4170237;5542398;5648509;1
56122615;1939515;11769187;8997210;22837947;8557617;22279091;19395150;6340244;3342232;17992005;16927034;16927034;4202472;2998012;8127859;18088899;7067910;6139155;10992901;5705242;7845334;10208344;0
72789463;17946548;32512059;23312906;20922997;15299650;17043506;119643653.3;12356570;12991030;16933001;15529618;15529618;4592030;-634460;12897835;28416351;10552280;11837624;16382008;14168303;11008308;12185581;1
63681492;11461941;24135202;18233473;20886111;15791109;14529967;88168776.92;11296748;3647440;18214752;10392974;10392974;3367144;7649308;10558240;23065035;9172106;12312171;14526188;7603235;7409639;11365434;1
62245162;-3131743;24162561;18286257;27830723;13078994;11938878;164980100;9052376;5792739;17088310;17361999;17361999;5328428;3259637;9098819;15744897;9570723;6328705;15542846;8230988;7326621;9764870;0
47554262;5072263;20616614;16040623;16459063;16483742;15199687;50722630;7173731;8136911;11849685;11825223;11825223;2404909;-963180;6419852;18592409;6082938;5874516;9058255;7909748;6634747;6407584;1
63279061;4127562;22445772;15748482;31493488;14767631;16691587;31750476.92;6335773;10750272;17495870;19844990;19844990;3838266;-4414499;9382566;14737246;7665761;10089472;14164272;10872182;11491627;11613537;0
